Date,US 1Y,US 2Y,US 3Y,US 5Y,CH 1Y,CH 2Y,CH 3Y,CH 5Y,CHF/USD,
01/01/92,4.23,4.73,5.05,5.98,7.34,6.69,6.41,6.56,1.36,
02/01/92,4.25,4.73,5.06,6.02,7.35,6.70,6.41,6.56,1.37,
03/01/92,4.25,4.76,5.12,6.10,7.35,6.70,6.42,6.56,1.37,
06/01/92,4.25,4.71,5.07,6.07,7.35,6.70,6.42,6.43,1.34,
07/01/92,4.23,4.64,4.99,5.98,7.35,6.14,6.42,6.37,1.34,
08/01/92,4.16,4.62,4.98,6.00,7.07,6.57,6.43,6.31,1.34,
09/01/92,4.12,4.67,5.06,6.06,7.25,6.57,6.43,6.31,1.39,
10/01/92,4.12,4.77,5.15,6.14,7.13,6.58,6.43,6.31,1.41,
13/01/92,4.19,4.88,5.25,6.24,7.13,6.58,6.43,6.25,1.41,
14/01/92,4.25,4.95,5.35,6.38,7.16,6.58,6.44,6.25,1.42,
15/01/92,4.29,5.03,5.40,6.41,7.10,6.59,6.44,6.25,1.45,
16/01/92,4.37,5.05,5.42,6.48,7.11,6.59,6.45,6.25,1.44,
17/01/92,4.38,4.98,5.37,6.42,7.11,6.60,6.45,6.32,1.41,
20/01/92,4.33,4.98,5.37,6.42,7.08,6.60,6.45,6.25,1.41,
21/01/92,4.33,4.89,5.26,6.30,7.08,6.60,6.45,6.13,1.41,
22/01/92,4.27,4.90,5.31,6.29,7.08,6.61,6.16,6.13,1.41,
23/01/92,4.27,4.97,5.40,6.36,7.09,6.61,6.16,6.13,1.43,
24/01/92,4.31,5.08,5.52,6.42,6.99,6.61,6.56,6.13,1.42,
27/01/92,4.36,5.10,5.56,6.42,7.06,6.76,6.56,6.13,1.43,
28/01/92,4.38,5.04,5.50,6.33,7.04,6.76,6.56,6.13,1.42,
29/01/92,4.36,5.08,5.57,6.44,7.04,6.77,6.27,6.14,1.43,
30/01/92,4.37,5.11,5.61,6.50,7.04,6.77,6.27,6.20,1.43,
31/01/92,4.40,5.06,5.54,6.49,7.07,6.78,6.58,6.20,1.43,
03/02/92,4.38,5.12,5.60,6.51,7.08,6.26,6.58,6.38,1.43,
04/02/92,4.40,5.09,5.56,6.44,6.82,6.26,6.28,6.32,1.42,
05/02/92,4.38,5.05,5.47,6.39,6.82,6.27,6.29,6.26,1.41,
06/02/92,4.35,5.02,5.44,6.37,6.85,6.27,6.29,6.26,1.41,
07/02/92,4.32,4.93,5.38,6.35,6.79,6.27,6.19,6.20,1.39,
10/02/92,4.27,4.89,5.38,6.35,6.79,6.28,6.19,6.20,1.41,
11/02/92,4.23,4.95,5.44,6.37,6.76,6.28,6.09,6.14,1.43,
12/02/92,4.28,5.04,5.49,6.43,6.73,6.28,6.10,6.08,1.44,
13/02/92,4.30,5.14,5.64,6.57,6.74,6.29,6.10,6.08,1.46,
14/02/92,4.37,5.20,5.70,6.62,6.74,6.29,6.10,6.24,1.46,
17/02/92,4.44,5.20,5.70,6.62,6.77,6.29,6.51,6.27,1.46,
18/02/92,4.44,5.18,5.70,6.65,6.83,6.69,6.51,6.27,1.49,
19/02/92,4.41,5.20,5.71,6.64,7.00,6.70,6.21,6.27,1.49,
20/02/92,4.48,5.23,5.71,6.64,7.01,6.70,6.11,6.21,1.49,
21/02/92,4.50,5.40,5.82,6.74,7.04,6.71,6.12,6.21,1.50,
24/02/92,4.58,5.38,5.86,6.78,7.07,6.71,6.32,6.27,1.49,
